"deck","front","back","tags"
"DSA / LeetCode","48. Rotate Image — Med. (80.6%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/rotate-image

**Difficulty:** Med. | **Acceptance:** 80.6%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","49. Group Anagrams — Med. (73.2%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/group-anagrams

**Difficulty:** Med. | **Acceptance:** 73.2%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","435. Non-overlapping Intervals — Med. (57.6%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/non-overlapping-intervals

**Difficulty:** Med. | **Acceptance:** 57.6%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","53. Maximum Subarray — Med. (53.8%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/maximum-subarray

**Difficulty:** Med. | **Acceptance:** 53.8%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","54. Spiral Matrix — Med. (57.7%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/spiral-matrix

**Difficulty:** Med. | **Acceptance:** 57.7%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","55. Jump Game — Med. (41.4%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/jump-game

**Difficulty:** Med. | **Acceptance:** 41.4%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","56. Merge Intervals — Med. (52.7%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/merge-intervals

**Difficulty:** Med. | **Acceptance:** 52.7%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","57. Insert Interval — Med. (45.9%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/insert-interval

**Difficulty:** Med. | **Acceptance:** 45.9%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","572. Subtree of Another Tree — Easy (52.1%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/subtree-of-another-tree

**Difficulty:** Easy | **Acceptance:** 52.1%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","62. Unique Paths — Med. (67.2%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/unique-paths

**Difficulty:** Med. | **Acceptance:** 67.2%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","190. Reverse Bits — Easy (69.2%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/reverse-bits

**Difficulty:** Easy | **Acceptance:** 69.2%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","191. Number of 1 Bits — Easy (77.4%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/number-of-1-bits

**Difficulty:** Easy | **Acceptance:** 77.4%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","322. Coin Change — Med. (49.0%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/coin-change

**Difficulty:** Med. | **Acceptance:** 49.0%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","323. Number of Connected Components in an Undirected Graph — Med. (65.1%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph

**Difficulty:** Med. | **Acceptance:** 65.1%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","70. Climbing Stairs — Easy (54.3%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/climbing-stairs

**Difficulty:** Easy | **Acceptance:** 54.3%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","198. House Robber — Med. (53.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/house-robber

**Difficulty:** Med. | **Acceptance:** 53.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","200. Number of Islands — Med. (65.0%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/number-of-islands

**Difficulty:** Med. | **Acceptance:** 65.0%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","73. Set Matrix Zeroes — Med. (63.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/set-matrix-zeroes

**Difficulty:** Med. | **Acceptance:** 63.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","76. Minimum Window Substring — Hard (48.3%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/minimum-window-substring

**Difficulty:** Hard | **Acceptance:** 48.3%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, hard, leetcode"
"DSA / LeetCode","206. Reverse Linked List — Easy (81.0%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/reverse-linked-list

**Difficulty:** Easy | **Acceptance:** 81.0%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","79. Word Search — Med. (48.0%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/word-search

**Difficulty:** Med. | **Acceptance:** 48.0%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","207. Course Schedule — Med. (52.1%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/course-schedule

**Difficulty:** Med. | **Acceptance:** 52.1%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","208. Implement Trie (Prefix Tree) — Med. (70.0%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/implement-trie-prefix-tree

**Difficulty:** Med. | **Acceptance:** 70.0%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","338. Counting Bits — Easy (80.8%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/counting-bits

**Difficulty:** Easy | **Acceptance:** 80.8%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","211. Design Add and Search Words Data Structure — Med. (48.9%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/design-add-and-search-words-data-structure

**Difficulty:** Med. | **Acceptance:** 48.9%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","212. Word Search II — Hard (38.8%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/word-search-ii

**Difficulty:** Hard | **Acceptance:** 38.8%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, hard, leetcode"
"DSA / LeetCode","213. House Robber II — Med. (45.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/house-robber-ii

**Difficulty:** Med. | **Acceptance:** 45.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","217. Contains Duplicate — Easy (64.7%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/contains-duplicate

**Difficulty:** Easy | **Acceptance:** 64.7%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","91. Decode Ways — Med. (38.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/decode-ways

**Difficulty:** Med. | **Acceptance:** 38.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","347. Top K Frequent Elements — Med. (67.2%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/top-k-frequent-elements

**Difficulty:** Med. | **Acceptance:** 67.2%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","253. Meeting Rooms II — Med. (52.8%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/meeting-rooms-ii

**Difficulty:** Med. | **Acceptance:** 52.8%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","98. Validate Binary Search Tree — Med. (36.3%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/validate-binary-search-tree

**Difficulty:** Med. | **Acceptance:** 36.3%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","226. Invert Binary Tree — Easy (80.4%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/invert-binary-tree

**Difficulty:** Easy | **Acceptance:** 80.4%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","100. Same Tree — Easy (67.9%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/same-tree

**Difficulty:** Easy | **Acceptance:** 67.9%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","1143. Longest Common Subsequence — Med. (59.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/longest-common-subsequence

**Difficulty:** Med. | **Acceptance:** 59.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","102. Binary Tree Level Order Traversal — Med. (73.4%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/binary-tree-level-order-traversal

**Difficulty:** Med. | **Acceptance:** 73.4%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","230. Kth Smallest Element in a BST — Med. (77.3%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/kth-smallest-element-in-a-bst

**Difficulty:** Med. | **Acceptance:** 77.3%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","104. Maximum Depth of Binary Tree — Easy (78.6%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/maximum-depth-of-binary-tree

**Difficulty:** Easy | **Acceptance:** 78.6%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","105. Construct Binary Tree from Preorder and Inorder Traversal — Med. (69.4%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal

**Difficulty:** Med. | **Acceptance:** 69.4%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","235. Lowest Common Ancestor of a Binary Search Tree — Med. (71.3%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree

**Difficulty:** Med. | **Acceptance:** 71.3%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","238. Product of Array Except Self — Med. (69.2%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/product-of-array-except-self

**Difficulty:** Med. | **Acceptance:** 69.2%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","242. Valid Anagram — Easy (68.6%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/valid-anagram

**Difficulty:** Easy | **Acceptance:** 68.6%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","371. Sum of Two Integers — Med. (55.8%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/sum-of-two-integers

**Difficulty:** Med. | **Acceptance:** 55.8%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, medium, leetcode"
"DSA / LeetCode","252. Meeting Rooms — Easy (59.5%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/meeting-rooms

**Difficulty:** Easy | **Acceptance:** 59.5%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","121. Best Time to Buy and Sell Stock — Easy (57.3%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/best-time-to-buy-and-sell-stock

**Difficulty:** Easy | **Acceptance:** 57.3%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
"DSA / LeetCode","124. Binary Tree Maximum Path Sum — Hard (42.7%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/binary-tree-maximum-path-sum

**Difficulty:** Hard | **Acceptance:** 42.7%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, hard, leetcode"
"DSA / LeetCode","125. Valid Palindrome — Easy (54.2%) — Pattern? Approach?","**Link:** https://leetcode.com/problems/valid-palindrome

**Difficulty:** Easy | **Acceptance:** 54.2%

**Recall:**
- Pattern:
- Approach:
- Time/Space:
- Edge cases:

Fill after solving. Paste your solution and notes here.","blind75, easy, leetcode"
